Primary Applicant,Project State(s),Proposed EPA Funding,Project Description
Promote PT Inc DBA Protect PT,PA,"$358,480 ",Recipient will expand Protect PT’s air monitoring efforts in Environmental Justice communities in Southwestern Pennsylvania to address the lack of knowledge about fossil fuel air emissions and their impact on quality of life for those living in counties that have been exacerbated by the COVID-19 pandemic.
FracTracker Alliance,"PA, OH, WV","$495,301 ",Recipient will expand upon an ongoing community-science project launched in 2020 that uses air monitors to provide real-time data for a variety of pollutants associated with Unconventional Oil and Gas Development (UOGD) and petrochemical-related industries that have rapidly proliferated in the region. Community science has provided opportunities for increased participation and involvement and supported ongoing efforts to improve air quality in the region.
Rhode Island D.O.H.,RI,"$500,000 ","Recipient will conduct air quality monitoring by installing air quality sensors at public housing developments and organizations within these communities and will measure both indoor and outdoor air quality.
Measurements will help the recipient understand the impact of air quality on asthma outcomes among underserved communities living in the city of Providence, Rhode Island."
Charleston Community Research to Action Board (CCRAB),SC,"$499,715 ","Recipient will deploy monitors and sensors, capacity-build and offer educational programming, and provide a portfolio of data communication tools. Recipient will establish capacity of communities to conduct long-term monitoring of air pollution in real-time, understand air quality data and related health impacts, and guide air quality research and interventions long-term."
"The Keya Foundation, Inc.",SD,"$406,482 ",Recipient will generate outdoor air pollution information for the Cheyenne River Sioux Tribal communities in South Dakota. The goal is to measure air pollutant exposure levels of metals in the air that the communities breathe.
"The Enterprise Center, Inc.",TN,"$491,171 ","Recipient will support 130 additional low-cost sensors in the study area, provide 50 sensors for resident use via a library loan program, and add resiliency via one additional monitor.  Data visualization, health information, and educational resources will be hosted publicly for residents, and sensor data will be imported into repositories, ensuring practitioners and researchers have access to the network and increasing their ability to advance other research, inform public health advisories, and enhance citizen self-efficacy."
"Achieving Community Tasks Successfully
(ACTS)",TX,"$498,813 ","Recipient will conduct a mobile air monitoring campaign to expand the capacity and scope of local community air monitoring networks through investments in additional low-cost sensors, analytic and visualization tools and will conduct two annual follow-up surveys, one emergency response survey, and organize citizen science training and community outreach. Project will generate actionable data leading to reduced
exposures to improve community health, increased surveillance and response from local and state governments, community-led disaster planning, policy changes, permit reviews, enforcement, and contributing new data for national risk assessments and rulemakings."
Capital Area Council of Governments,TX,"$453,732 ","Recipient will operate seven air quality monitors and will distribute 20 low-cost sensors in the region. Project outcomes will include improved understanding of where high levels of air pollutants occur in the region, improved pollutant forecasting, enhanced local decision-making, better- targeted emission reduction actions, reduction of the public’s exposure to pollution, and expanded community capacity for future monitoring."
Capital Area Council of Governments,TX,"$206,540 ","Recipient will install one monitor in the Austin-Round Rock-Georgetown Metro Area and measurements of air quality will lead to outcomes including improved understanding the composition air pollutants in the region, better-targeted emission reduction actions, and expanded community capacity for future monitoring."
Centro Fronterizo del Obrero (dba) La Mujer Obrera,TX,"$500,000 ","Recipient designed an air monitoring campaign to empower the Chamizal community by creating a mitigation plan armed with data to protect the health of the residents of the neighborhood. Air quality data will provide a baseline analysis across transportation emissions, environmental justice concerns, known pollution sources, and localized environmental justice screening."
City of Houston,TX,"$499,982 ","Recipient will conduct community monitoring of four hazardous air pollutants identified that pose risk to communities. Sampling methods will be used to monitor the pollutants, and the community will work with community partners for actionable outputs such as education programs."
Lubbock Compact Foundation,TX,"$482,960 ","Recipient will install and maintain a network of 40 air monitors over 3 years. Project investigates the potential causes for documented health disparities in target neighborhoods, empowering these residents with the data needed to better advocate for their own health in a century- long struggle for environmental justice."
Port Arthur Community Action Network,"TX, LA","$407,600 ","Recipient will set air monitoring baselines, from which future measurements can be compared. Recipient's team of community partners will deploy two methods for each site: 1) fixed air pollutant sensors with a weather station attached, and 2) a mobile air monitoring system that provides a baseline survey. Actions will increase support for the Port Arthur, Texas and Lake Charles, Louisiana communities, which have received very little support for air pollution monitoring or reform."
Salt Lake County,UT,"$500,000 ","Recipient will install eight additional air quality monitors on electric buses. The additional monitoring capacity will inform Salt Lake County’s efforts in improving air quality, particularly in diverse and underserved west side Salt Lake County communities, to create one of the most detailed pollution mapping systems in the world."
Utah Department of Environmental Quality,UT,"$499,208 ","Recipient will enhance air quality monitoring in underserved communities through mobile monitoring and community partnerships. Communities will be engaged through the formation of a community steering committee, community meetings, surveys and listening sessions, and development of educational modules, which will help strengthen relationships between impacted communities and regulatory agencies, leading to increased trust and shared decision-making power between these groups."
Utah Department of Environmental Quality,UT,"$285,379 ","Recipient will enhance air pollutant monitoring in underserved communities by integrating measurements with community partnerships. Recipient will engage communities through a community steering committee, community meetings, surveys, listening sessions, outreach modules, and air quality visualizations and alerts, which will help strengthen relationships between impacted communities and regulatory agencies, leading to increased trust, effective collaboration, shared decision-making, and development of mitigation strategies."
Upper Mattaponi Indian Tribe,VA,"$449,988 ","Recipient will build Tribal capacity to implement an air quality program by 1) training Tribal citizens in air quality knowledge and skills; 2) developing a community advisory board, 3) installation and maintenance of a Tribal Air Quality Monitoring Station, 4) assessment of Tribal community air quality and opportunities. This project will enable the Tribe to gain the necessary training, tools, research, and support to bring data monitoring into the Tribe’s decision making process, ultimately empowering them to better serve their community."
Puget Sound Clean Air Agency,WA,"$499,408 ","Recipient will deploy an innovative air monitoring approach using a TREE (Trailer for Researching Environmental Equity) equipped with stationary instruments at a fixed location based on community input to explore their neighborhood air quality concerns. Community-led air monitoring activities will use portable hand-held sensors which can be cross-referenced to the instruments in the TREE and the approach will be a beacon for how government agencies and communities can share power, exchange information, and provide disadvantaged communities with flexible, responsive air quality resources."
Swinomish Indian Tribal Community,WA,"$304,077 ",Recipient will purchase equipment which will be installed at two stations allowing for monitoring of air pollutants as well as monitoring atmospheric stability at three stations. Recipient will solicit and consider the needs of the public and emergency responders to create a dual- sided website with real-time weather and air quality monitoring data for consumers to make informed decisions on personal and public safety.
"Children's Hospital of Wisconsin, Inc.",WI,"$500,000 ",d funding
City of Madison,WI,"$429,746 ","Recipient will install a city-wide network of air quality sensors to provide real-time, ground-level, publicly accessible information on particulate matter pollution at the neighborhood scale. Recipient will characterize the spatial distribution air pollutants across the city, identify neighborhoods experiencing the greatest levels of air pollution, and work with the community to determine next steps for improving air quality and protecting the health of residents."
Wisconsin Department of Natural Resources,WI,"$500,000 ","Recipient will determine local hotspots and emission sources using community scale monitoring combined with emission inventory data. Project will allow the state to build upon existing multi‐pollutant ambient air monitoring expertise and networks to identify and confirm areas where disparity exists and what mitigation options can be identified, promoted and communicated locally to resolve disproportionate impacts."
