System Name,Depth of Well (ft),Static Water Level (ft),Active,Water Year
LOWER RIO GRANDE PWWA SOUTH VALLEY,385.0,15.0,-1,2015
LOWER RIO GRANDE PWWA SOUTH VALLEY,317.0,120.0,-1,2000
LOWER RIO GRANDE PWWA SOUTH VALLEY,470.0,15.0,-1,2009
LOWER RIO GRANDE PWWA SOUTH VALLEY,600.0,90.0,-1,2019
RANCHEROS DE SANTA FE CAMPING PARK,440.0,85.0,-1,2005
APPLE TREE RV PARK,160.0,60.0,-1,2009
APPLE TREE RV PARK,160.0,70.0,-1,2010
GRANTS KOA,171.0,40.0,-1,2008
MOUNTAINAIR WATER SYSTEM,292.0,130.0,-1,2019
MOUNTAINAIR WATER SYSTEM,260.0,70.0,-1,2017
SANTA ROSA WATER SUPPLY,620.0,420.0,-1,2005
SANTA ROSA WATER SUPPLY,635.0,400.0,-1,2014
MINE SHAFT TAVERN,580.0,120.0,-1,2002
LOWER RIO GRANDE PWWA RINCON,260.0,125.0,-1,2004
LOWER RIO GRANDE PWWA RINCON,251.0,125.0,-1,2013
COTTONWOOD MONTESSORI,200.0,9.0,-1,2020
PHILMONT SCOUT RANCH - CLEAR CREEK OC,100.0,42.0,-1,2022
HOMESTEAD LANDOWNERS ASSOCIATION,280.0,121.0,-1,2012
TETILLA PEAK RECREATION AREA,476.0,210.0,-1,2016
PHILMONT SCOUT RANCH - BALDY OUTCAMP,300.0,60.0,-1,2017
LORDSBURG WATER SUPPLY SYSTEM,400.0,128.0,-1,2020
LORDSBURG WATER SUPPLY SYSTEM,500.0,141.0,-1,2000
LORDSBURG WATER SUPPLY SYSTEM,525.0,141.0,-1,2018
CORRALES MUNICIPAL COMPLEX,360.0,41.0,-1,2018
ARROYOS DEL NORTE ELEMENTARY SCHOOL,760.0,658.0,-1,2018
MOUNTAIN VIEW ELEMENTARY SCHOOL,300.0,140.0,-1,2005
AMERICAN RV PARK,1292.0,834.0,-1,2004
GUADALUPITA MDWCA,200.0,3.0,-1,2021
LOW HI RV RANCH,233.0,98.0,-1,2022
VISTA BONITA WATER COOP,120.0,63.0,-1,2008
PENASCO MDWCA,265.0,146.0,-1,2007
PENASCO MDWCA,265.0,10.0,-1,2018
THE RINCON WATER COOPERATIVE,243.0,77.0,-1,2022
THE RINCON WATER COOPERATIVE,234.0,64.0,-1,2006
FORT LONE TREE,675.0,550.0,-1,2021
CATTLEMENS LIVESTOCK AUCTION,167.0,6.0,-1,2022
HACIENDA ACRES WATER SYSTEM (LCU),670.0,465.0,-1,2014
HACIENDA ACRES WATER SYSTEM (LCU),800.0,483.0,-1,2011
HACIENDA ACRES WATER SYSTEM (LCU),800.0,403.0,-1,2021
HACIENDA ACRES WATER SYSTEM (LCU),800.0,430.0,-1,2010
HACIENDA ACRES WATER SYSTEM (LCU),860.0,329.0,-1,2012
DELANCEY STREET FOUNDATION,75.0,13.0,-1,2010
BAYARD MUNICIPAL WATER SYSTEM,650.0,65.0,-1,2017
BAYARD MUNICIPAL WATER SYSTEM,700.0,67.0,-1,2016
BAYARD MUNICIPAL WATER SYSTEM,982.0,64.0,-1,2003
BAYARD MUNICIPAL WATER SYSTEM,500.0,65.0,-1,2010
BAYARD MUNICIPAL WATER SYSTEM,310.0,60.0,-1,2012
BAYARD MUNICIPAL WATER SYSTEM,380.0,62.0,-1,2001
BLACK RIVER CENTER FOR LEARNING,51.0,26.0,-1,2005
JEM TRADING,500.0,10.0,-1,2015
CAUSEY WATER SYSTEM,189.0,105.0,-1,2023
CAUSEY WATER SYSTEM,190.0,90.0,-1,2001
BOWLINS BUTTERFIELD STATION,327.0,80.0,-1,2014
LYBROOK MDWCA,1704.0,1000.0,-1,2022
ARTESIA MUNICIPAL WATER SYSTEM,1107.0,176.0,-1,2022
ARTESIA MUNICIPAL WATER SYSTEM,1158.0,110.0,-1,2019
ARTESIA MUNICIPAL WATER SYSTEM,1054.0,154.0,-1,2020
ARTESIA MUNICIPAL WATER SYSTEM,830.0,311.0,-1,2000
ARTESIA MUNICIPAL WATER SYSTEM,820.0,261.0,-1,2016
PECOS WATER SYSTEM,400.0,35.0,-1,2021
PECOS WATER SYSTEM,300.0,75.0,-1,2010
UNIVERSITY OF NEW MEXICO,750.0,220.0,-1,2016
AUSTING HAUS,55.0,30.0,-1,2010
RIO COMMUNITIES INDUSTRIAL PARK,480.0,118.0,-1,2017
GONZALES RANCH MDWCA,750.0,500.0,-1,2011
CUBA WATER SYSTEM,555.0,256.0,-1,2007
CUBA WATER SYSTEM,620.0,240.0,-1,2008
CUBA WATER SYSTEM,622.0,243.0,-1,2008
VISTA LINDA CAMPGROUND USFS SNF,100.0,15.0,-1,2008
MANZANO MDWCA,155.0,18.0,-1,2015
LEDOUX MDWCA,170.0,50.0,-1,2003
LEDOUX MDWCA,205.0,58.0,-1,2018
COLUMBINE INN,70.0,30.0,-1,2005
SUNSET HILLS ESTATES HOA,1200.0,800.0,-1,2007
PEOPLES WATER COOP,320.0,168.0,-1,2004
CAROLINO CANYON,500.0,300.0,-1,2018
ALBUQUERQUE NORTH KOA,85.0,35.0,-1,2002
BLUEWATER LAKE MDWCA,273.0,147.0,-1,2012
POJOAQUE TERRACES MHP,130.0,30.0,-1,2019
RIO ARRIBA COUNTY DETENTION CENTER,63.0,60.0,-1,2018
WHITES CITY WATER SYSTEM,1205.0,821.0,-1,2004
WHITES CITY WATER SYSTEM,1200.0,821.0,-1,2011
RUIDOSO DOWNS RACETRACK,310.0,60.0,-1,2008
RUIDOSO DOWNS RACETRACK,189.0,54.0,-1,2006
RUIDOSO DOWNS RACETRACK,140.0,60.0,-1,2016
RUIDOSO DOWNS RACETRACK,122.0,60.0,-1,2004
VERMEJO PARK  -  HEADQUARTERS,24.0,12.0,-1,2022
VERMEJO PARK  -  HEADQUARTERS,24.0,12.0,-1,2011
VERMEJO PARK  -  HEADQUARTERS,24.0,12.0,-1,2012
VERMEJO PARK  -  HEADQUARTERS,24.0,12.0,-1,2011
VERMEJO PARK  -  HEADQUARTERS,45.0,16.0,-1,2004
OVERLOOK WATER CO-OP INC,500.0,300.0,-1,2014
OVERLOOK WATER CO-OP INC,700.0,400.0,-1,2004
"PAAKWEREE VILLAGE WATER CO-OP ASSOC, INC",920.0,284.0,-1,2017
MOUNTAIN VIEW CHRISTIAN YOUTH CAMP,210.0,80.0,-1,2007
MONTEREY WATER COMPANY INC.,496.0,217.0,-1,2006
SAN LUIS CABEZON MDWCA,603.0,153.0,-1,2002
AGUA PIEDRA CAMP GROUND USFS CARSON,90.0,55.0,-1,2019
TAOS COUNTRY CLUB,160.0,131.0,-1,2019
HOLLOMAN AIR FORCE BASE,203.0,77.0,-1,2023
HOLLOMAN AIR FORCE BASE,260.0,120.0,-1,2000
HOLLOMAN AIR FORCE BASE,260.0,68.0,-1,2000
HOLLOMAN AIR FORCE BASE,210.0,90.0,-1,2002
HOLLOMAN AIR FORCE BASE,350.0,112.0,-1,2021
HOLLOMAN AIR FORCE BASE,991.0,265.0,-1,2014
HOLLOMAN AIR FORCE BASE,640.0,240.0,-1,2000
HOLLOMAN AIR FORCE BASE,710.0,162.0,-1,2012
HOLLOMAN AIR FORCE BASE,755.0,245.0,-1,2023
HOLLOMAN AIR FORCE BASE,532.0,245.0,-1,2010
BUENA VISTA MDWCA,127.0,87.0,-1,2015
LONE STAR TRAILER RANCH,410.0,50.0,-1,2019
SILVER CITY WATER SYSTEM,800.0,471.0,-1,2023
SILVER CITY WATER SYSTEM,835.0,462.0,-1,2019
SILVER CITY WATER SYSTEM,1030.0,512.0,-1,2013
SILVER CITY WATER SYSTEM,1030.0,536.0,-1,2010
MOUNTAIN VIEW MHP,335.0,275.0,-1,2009
XCEL ENERGY SPS MADDOX STATION,200.0,63.0,-1,2000
PHILMONT SCOUT RANCH - INDIAN WRITINGS,52.0,17.0,-1,2001
FAMBROUGH MDWCA,1047.0,77.0,-1,2002
MAVERICK NATURAL RESOURCES BUCKEYE,150.0,42.0,-1,2007
T & R MARKET WATER SUPPLY,555.0,200.0,-1,2001
CHAMBERINO MDWC & SA,530.0,162.0,-1,2023
HILLSBORO MDWCA,250.0,13.0,-1,2018
HILLSBORO MDWCA,483.0,30.0,-1,2011
PORTALES WATER SYSTEM,213.0,145.53,-1,2009
PORTALES WATER SYSTEM,181.0,133.47,-1,2015
PORTALES WATER SYSTEM,200.0,148.94,-1,2016
PORTALES WATER SYSTEM,208.0,134.29,-1,2009
PORTALES WATER SYSTEM,217.0,160.56,-1,2021
PORTALES WATER SYSTEM,208.0,152.57,-1,2019
PORTALES WATER SYSTEM,184.0,146.92,-1,2005
PORTALES WATER SYSTEM,211.0,155.58,-1,2020
PORTALES WATER SYSTEM,135.0,102.0,-1,2003
PORTALES WATER SYSTEM,120.0,111.0,-1,2014
PORTALES WATER SYSTEM,120.0,107.0,-1,2014
PORTALES WATER SYSTEM,120.0,106.0,-1,2004
PORTALES WATER SYSTEM,118.0,92.0,-1,2005
PORTALES WATER SYSTEM,115.0,87.0,-1,2021
PORTALES WATER SYSTEM,200.0,166.08,-1,2017
PORTALES WATER SYSTEM,208.0,146.82,-1,2015
PORTALES WATER SYSTEM,228.0,171.74,-1,2009
PORTALES WATER SYSTEM,231.0,168.5,-1,2022
PORTALES WATER SYSTEM,220.0,135.57,-1,2016
PORTALES WATER SYSTEM,220.0,131.87,-1,2011
PORTALES WATER SYSTEM,177.0,121.5,-1,2010
PORTALES WATER SYSTEM,220.0,166.48,-1,2010
PORTALES WATER SYSTEM,180.0,147.5,-1,2022
PORTALES WATER SYSTEM,180.0,158.4,-1,2007
PORTALES WATER SYSTEM,180.0,165.16,-1,2003
PORTALES WATER SYSTEM,178.0,144.0,-1,2002
PORTALES WATER SYSTEM,201.0,143.0,-1,2006
PORTALES WATER SYSTEM,193.0,158.0,-1,2017
PORTALES WATER SYSTEM,214.0,166.0,-1,2005
PORTALES WATER SYSTEM,160.0,128.0,-1,2009
PORTALES WATER SYSTEM,196.0,158.0,-1,2001
COUNT YOUR BLESSING,210.0,80.0,-1,2021
PHILMONT SCOUT RANCH - CRATER LAKE OC,203.0,62.0,-1,2017
MIDWAY RV PARK,190.0,80.0,-1,2013
BOSQUE GARDENS MDWCA,180.0,6.0,-1,2009
BOSQUE GARDENS MDWCA,183.0,6.0,-1,2004
ANTON CHICO REST AREA  EAST BOUND,260.0,159.0,-1,2014
PAJARITO MOUNTAIN SKI AREA,500.0,370.0,-1,2000
POJOAQUE VALLEY SCHOOL DISTRICT,500.0,60.0,-1,2022
POJOAQUE VALLEY SCHOOL DISTRICT,800.0,252.0,-1,2006
RIO EMBUDO MDWCA,90.0,25.0,-1,2000
VILLA SANTA MARIA,85.0,16.0,-1,2007
CEDAR CREST MDWC & SWA,211.0,130.0,-1,2007
ENCHANTED VALLEY WUA,275.0,220.0,-1,2000
DESERT SKY MOUNTAIN WATER COOPERATIVE,600.0,354.0,-1,2006
DESERT SKY MOUNTAIN WATER COOPERATIVE,463.0,316.0,-1,2006
"NEW MEXICO TECH, PLAYAS FACILITY",300.0,157.0,-1,2008
"NEW MEXICO TECH, PLAYAS FACILITY",630.0,140.0,-1,2006
JUNIPER MOBILE PARK,90.0,40.0,-1,2005
JUNIPER MOBILE PARK,95.0,40.0,-1,2014
NORTHEAST NM DETENTION FACILITY,525.0,301.0,-1,2016
CLAYTON MUNICIPAL SUPPLY,611.0,300.0,-1,2020
CLAYTON MUNICIPAL SUPPLY,450.0,315.0,-1,2019
CLAYTON MUNICIPAL SUPPLY,550.0,319.0,-1,2001
CLAYTON MUNICIPAL SUPPLY,457.0,327.0,-1,2004
EL SHADDAI WATER CO OP,411.0,85.0,-1,2015
TROUT MOUNTAIN WATER ASSOCIATION,320.0,125.0,-1,2015
TROUT MOUNTAIN WATER ASSOCIATION,125.0,12.0,-1,2012
RAMAH WATER & SANITATION DISTRICT,110.0,30.0,-1,2013
BEARCAT HOMEOWNERS ASSOCIATION,250.0,110.0,-1,2022
CABALLO LAKESIDE CAMPGROUND-STATE PARKS,250.0,55.0,-1,2003
MAXWELL COOPERATIVE WATER USERS ASSOC,40.0,9.0,-1,2014
MAXWELL COOPERATIVE WATER USERS ASSOC,50.0,31.0,-1,2002
MAXWELL COOPERATIVE WATER USERS ASSOC,50.0,26.0,-1,2022
MAXWELL COOPERATIVE WATER USERS ASSOC,47.0,17.0,-1,2007
MAXWELL COOPERATIVE WATER USERS ASSOC,47.0,17.0,-1,2018
AGUA SANA WUA,1240.0,470.0,-1,2003
DESERTAIRE WATER COMPANY,253.0,170.0,-1,2014
DESERTAIRE WATER COMPANY,255.0,152.0,-1,2003
MONTICELLO CANYON DWCA,250.0,75.0,-1,2015
ZIA RV PARK,605.0,200.0,-1,2016
TOM & JERRY PLAZA,200.0,120.0,-1,2020
RIBERA MDWCA,300.0,62.0,-1,2012
VAUGHN DURAN WATER SYSTEM,900.0,105.0,-1,2014
VAUGHN DURAN WATER SYSTEM,900.0,200.0,-1,2016
VAUGHN DURAN WATER SYSTEM,900.0,250.0,-1,2016
VAUGHN DURAN WATER SYSTEM,900.0,200.0,-1,2007
ALTO LAKES WATER AND SANITATION DISTRICT,1084.0,110.0,-1,2019
ALTO LAKES WATER AND SANITATION DISTRICT,1175.0,140.0,-1,2020
ALTO LAKES WATER AND SANITATION DISTRICT,1240.0,225.0,-1,2015
ALTO LAKES WATER AND SANITATION DISTRICT,430.0,140.0,-1,2007
LOMA GRANDE ESTATES WATER ASSOCIATION,280.0,70.0,-1,2018
LOMA GRANDE ESTATES WATER ASSOCIATION,300.0,70.0,-1,2014
WESTERN SKY'S RV PARK,432.0,131.0,-1,2022
AMERICAN GYPSUM COMPANY ABQ PLANT,370.0,191.0,-1,2017
QUEEN RV PARK AND RESTAURANT,820.0,602.0,-1,2005
SANDIA CHURCH OF THE NAZARENE,135.0,6.0,-1,2021
CAPITAN WATER SYSTEM,495.0,200.0,-1,2022
CAPITAN WATER SYSTEM,480.0,200.0,-1,2009
MOUNTAIN CHRISTIAN CHURCH,185.0,120.0,-1,2016
EDGEWOOD MEADOWS WATER CORP.,239.0,146.0,-1,2020
WATROUS MDWCA,90.0,25.0,-1,2012
WATROUS MDWCA,130.0,55.0,-1,2008
LA MESA WATER COOP,720.0,245.0,-1,2023
LA MESA WATER COOP,755.0,272.0,-1,2014
ORGAN VIEW ESTATES,400.0,164.0,-1,2020
ORGAN VIEW ESTATES,340.0,164.0,-1,2004
FOX HILLS WATER USERS ASSOC,602.0,500.0,-1,2000
SKI TIP RESTAURANT,240.0,160.0,-1,2009
ALAMOGORDO DOMESTIC WATER SYSTEM,990.0,418.0,-1,2021
ALAMOGORDO DOMESTIC WATER SYSTEM,880.0,400.0,-1,2007
ALAMOGORDO DOMESTIC WATER SYSTEM,780.0,382.0,-1,2020
ALAMOGORDO DOMESTIC WATER SYSTEM,936.0,438.0,-1,2018
ALAMOGORDO DOMESTIC WATER SYSTEM,844.0,393.0,-1,2002
ALAMOGORDO DOMESTIC WATER SYSTEM,750.0,395.0,-1,2010
ALAMOGORDO DOMESTIC WATER SYSTEM,995.0,356.0,-1,2022
CARLSBAD MUNICIPAL WATER SYSTEM,220.0,81.0,-1,2009
CARLSBAD MUNICIPAL WATER SYSTEM,1000.0,425.0,-1,2023
CARLSBAD MUNICIPAL WATER SYSTEM,330.0,224.0,-1,2003
CARLSBAD MUNICIPAL WATER SYSTEM,305.0,227.0,-1,2018
CARLSBAD MUNICIPAL WATER SYSTEM,300.0,171.0,-1,2002
CARLSBAD MUNICIPAL WATER SYSTEM,325.0,245.0,-1,2017
CARLSBAD MUNICIPAL WATER SYSTEM,272.0,170.0,-1,2019
CARLSBAD MUNICIPAL WATER SYSTEM,238.0,160.0,-1,2010
CARLSBAD MUNICIPAL WATER SYSTEM,224.0,120.0,-1,2009
CARLSBAD MUNICIPAL WATER SYSTEM,270.0,165.0,-1,2000
CARLSBAD MUNICIPAL WATER SYSTEM,326.0,206.0,-1,2004
CARLSBAD MUNICIPAL WATER SYSTEM,295.0,160.0,-1,2001
CARLSBAD MUNICIPAL WATER SYSTEM,305.0,186.0,-1,2022
CARLSBAD MUNICIPAL WATER SYSTEM,237.0,130.0,-1,2008
CARLSBAD MUNICIPAL WATER SYSTEM,234.0,140.0,-1,2018
CARLSBAD MUNICIPAL WATER SYSTEM,242.0,170.0,-1,2021
CARLSBAD MUNICIPAL WATER SYSTEM,238.0,200.0,-1,2023
CARLSBAD MUNICIPAL WATER SYSTEM,303.0,200.0,-1,2019
CARLSBAD MUNICIPAL WATER SYSTEM,230.0,110.0,-1,2023
CARLSBAD MUNICIPAL WATER SYSTEM,727.0,397.0,-1,2003
CARLSBAD MUNICIPAL WATER SYSTEM,930.0,395.0,-1,2005
CARLSBAD MUNICIPAL WATER SYSTEM,590.0,403.0,-1,2004
CARLSBAD MUNICIPAL WATER SYSTEM,678.0,410.0,-1,2018
CARLSBAD MUNICIPAL WATER SYSTEM,730.0,449.0,-1,2007
CARLSBAD MUNICIPAL WATER SYSTEM,878.0,436.0,-1,2007
CARLSBAD MUNICIPAL WATER SYSTEM,790.0,420.0,-1,2023
ABIQUIU INN,50.0,9.0,-1,2017
RANCHOS DE PLACITAS SANITATION DISTRICT,500.0,213.0,-1,2010
RANCHOS DE PLACITAS SANITATION DISTRICT,670.0,323.0,-1,2013
RANCHOS DE PLACITAS SANITATION DISTRICT,982.0,430.0,-1,2002
VILLA DEL SOL MOBILE HOME PARK,420.0,100.0,-1,2008
HANNAH AND NATE'S MARKET CAFE,200.0,15.0,-1,2016
MADRID MHP,330.0,28.0,-1,2022
BENEDICTINE MONASTERY,111.0,30.0,-1,2021
CARC WASHINGTON RANCH,100.0,5.0,-1,2015
CHILDREN'S GARDEN MONTESSORI SCHOOL,300.0,100.0,-1,2006
LOVINGTON MUNICIPAL WATER SUPPLY,260.0,90.0,-1,2022
LOVINGTON MUNICIPAL WATER SUPPLY,240.0,87.0,-1,2007
LOVINGTON MUNICIPAL WATER SUPPLY,240.0,80.0,-1,2007
LOVINGTON MUNICIPAL WATER SUPPLY,220.0,90.0,-1,2005
LOVINGTON MUNICIPAL WATER SUPPLY,240.0,90.0,-1,2015
LOVINGTON MUNICIPAL WATER SUPPLY,270.0,75.0,-1,2022
LOVINGTON MUNICIPAL WATER SUPPLY,265.0,90.0,-1,2014
LOVINGTON MUNICIPAL WATER SUPPLY,270.0,89.0,-1,2004
LOVINGTON MUNICIPAL WATER SUPPLY,257.0,104.0,-1,2004
LOVINGTON MUNICIPAL WATER SUPPLY,251.0,92.0,-1,2007
LOVINGTON MUNICIPAL WATER SUPPLY,239.0,90.0,-1,2019
LOVINGTON MUNICIPAL WATER SUPPLY,220.0,89.0,-1,2011
LOVINGTON MUNICIPAL WATER SUPPLY,214.0,85.0,-1,2004
LOVINGTON MUNICIPAL WATER SUPPLY,232.0,105.0,-1,2020
LOVINGTON MUNICIPAL WATER SUPPLY,245.0,90.0,-1,2018
LOVINGTON MUNICIPAL WATER SUPPLY,256.0,109.0,-1,2016
PECOS NATIONAL HISTORICAL PARK-ADMIN,322.0,156.0,-1,2023
MORIARTY WATER SYSTEM,340.0,77.0,-1,2023
MORIARTY WATER SYSTEM,390.0,96.0,-1,2019
MORIARTY WATER SYSTEM,350.0,216.0,-1,2016
SAFE HAVEN RV PARK,140.0,85.0,-1,2016
PINON MDWCA,300.0,150.0,-1,2019
LAKE SUMNER STATE PARK 1,256.0,96.0,-1,2018
DOVE CANYON LLC,286.0,22.0,-1,2010
HOPE WATER SYSTEM,600.0,520.0,-1,2001
MANUELITO NAVAJO CHILDRENS HOME,427.0,85.0,-1,2015
MELROSE WATER SYSTEM,110.0,65.0,-1,2020
MELROSE WATER SYSTEM,110.0,75.0,-1,2001
MELROSE WATER SYSTEM,110.0,75.0,-1,2012
MELROSE WATER SYSTEM,120.0,75.0,-1,2020
SUNLIT HILLS WATER SYSTEM,300.0,140.0,-1,2014
SUNLIT HILLS WATER SYSTEM,300.0,152.0,-1,2002
SUNLIT HILLS WATER SYSTEM,300.0,168.0,-1,2007
SUNLIT HILLS WATER SYSTEM,156.0,113.0,-1,2003
SUNLIT HILLS WATER SYSTEM,300.0,75.0,-1,2002
SUNLIT HILLS WATER SYSTEM,274.0,20.0,-1,2019
SUNLIT HILLS WATER SYSTEM,160.0,45.0,-1,2014
SUNLIT HILLS WATER SYSTEM,180.0,37.0,-1,2023
SUNLIT HILLS WATER SYSTEM,135.0,37.0,-1,2019
SUNLIT HILLS WATER SYSTEM,240.0,77.0,-1,2023
SUNLIT HILLS WATER SYSTEM,325.0,36.0,-1,2018
UNM SEVILLETA FIELD STATION,460.0,140.0,-1,2021
RUIDOSO DOWNS WATER SYSTEM,300.0,150.0,-1,2009
RUIDOSO DOWNS WATER SYSTEM,688.0,70.0,-1,2009
MELODY RANCH WATER CO,400.0,206.0,-1,2019
ALAMO HEIGHTS WUA,270.0,210.0,-1,2004
IMERYS PERLITE,1060.0,760.0,-1,2023
PLACITAS ELEMENTARY SCHOOL,187.0,25.0,-1,2020
PLACITAS WEST WATER CO-OP,580.0,424.0,-1,2017
SUNSET ACRES WATER COMPANY,340.0,89.0,-1,2013
PHILMONT SCOUT RANCH - PHILLIPS JUNCTN,50.0,8.0,-1,2017
"ELEPHANT BUTTE, CITY OF",264.0,86.0,-1,2009
JUNIPER HILLS MHP,396.0,190.0,-1,2000
CLOUDCROFT WATER SYSTEM,158.0,120.0,-1,2007
CLOUDCROFT WATER SYSTEM,282.0,220.0,-1,2021
CLOUDCROFT WATER SYSTEM,500.0,400.0,-1,2009
CLOUDCROFT WATER SYSTEM,360.0,284.0,-1,2002
CLOUDCROFT WATER SYSTEM,380.0,265.0,-1,2011
CLOUDCROFT WATER SYSTEM,400.0,270.0,-1,2019
CLOUDCROFT WATER SYSTEM,400.0,250.0,-1,2014
SAN ACACIA MDWCA,540.0,163.0,-1,2008
FORT UNION REST AREA SOUTH BOUND,501.0,400.0,-1,2022
ROWE MDWCA,342.0,127.0,-1,2020
SANCHEZ MOBILE HOME PARK,200.0,86.0,-1,2012
FLYING J RANCH,57.0,34.0,-1,2017
LA LAMA MDWCA,865.0,681.0,-1,2008
INLOW YOUTH CAMP,300.0,30.0,-1,2010
PHILMONT SCOUT RANCH - SAWMILL OUTCAMP,95.0,36.0,-1,2008
TURQUOISE TRAIL CENTER  WATER SYSTEM,240.0,190.0,-1,2020
TURQUOISE TRAIL CENTER  WATER SYSTEM,175.0,40.0,-1,2005
CANONES MDWCA,50.0,20.0,-1,2002
BLUEWATER WATER AND SANITATION DISTRICT,345.0,175.0,-1,2013
BLUEWATER WATER AND SANITATION DISTRICT,402.0,188.0,-1,2022
VISTA DE ORO DE PLACITAS WATER USERS COO,800.0,504.0,-1,2018
VISTA DE ORO DE PLACITAS WATER USERS COO,840.0,504.0,-1,2007
MOUNTAINSIDE UNITED METHODIST,110.0,10.0,-1,2014
GALLUP PORT OF ENTRY,540.0,42.0,-1,2009
OJO SARCO MDWCA,229.0,151.0,-1,2008
OJO SARCO MDWCA,280.0,175.0,-1,2015
SENIOR LIVING SYSTEMS INC.,150.0,15.0,-1,2005
SAN ANDRES ESTATES WATER SYSTEM (LCU),350.0,25.0,-1,2013
SAN ANDRES ESTATES WATER SYSTEM (LCU),460.0,43.0,-1,2003
APPLE BLOSSOM AND WHITE ANGEL MESA WUA,80.0,20.0,-1,2011
VADITO MDWCA,158.0,75.0,-1,2000
LOWER RIO GRANDE PWWA EAST MESA,900.0,477.0,-1,2023
LOWER RIO GRANDE PWWA EAST MESA,801.0,535.0,-1,2011
LOWER RIO GRANDE PWWA EAST MESA,900.0,567.0,-1,2008
DESERT RANCH MDWCA,430.0,365.0,-1,2001
LOWER DES MONTES MDWCA,230.0,70.0,-1,2019
NORTH COURT MOBILE HOME PARK,160.0,12.0,-1,2022
TRANQUILLO PINES WATER USERS COOP,460.0,183.0,-1,2016
TRANQUILLO PINES WATER USERS COOP,700.0,226.0,-1,2006
TRANQUILLO PINES WATER USERS COOP,560.0,300.0,-1,2011
VALENCIA STORAGE AND MHP,126.0,5.0,-1,2019
OJO CALIENTE MDWCA,78.0,32.0,-1,2005
OJO CALIENTE MDWCA,51.0,36.0,-1,2009
CANYON HILLS AREA WUA,630.0,380.0,-1,2001
CANYON HILLS AREA WUA,575.0,380.0,-1,2015
CAMP FRANK RAND,235.0,158.8,-1,2007
HIGH SIERRA ESTATES WATER ASSN,705.0,70.0,-1,2021
BELEN MOOSE LODGE 1680,150.0,4.0,-1,2018
CORONADO VILLAGE COUNTRY CLUB,400.0,235.0,-1,2010
ROY (VILLAGE OF),72.0,54.0,-1,2003
ROY (VILLAGE OF),80.0,59.0,-1,2011
ROY (VILLAGE OF),94.0,60.0,-1,2023
ROY (VILLAGE OF),90.0,54.0,-1,2007
ROY (VILLAGE OF),109.0,58.0,-1,2000
PEREAS BAR AND RESTAURANT,210.0,60.0,-1,2012
SIERRA VISTA MUTUAL DOMESTIC ASSOCIATION,257.0,94.0,-1,2004
SAN MATEO MDWCA,701.0,196.0,-1,2013
ANTON CHICO REST AREA  WEST BOUND,260.0,170.0,-1,2023
ARAGON MDWCA,300.0,45.0,-1,2001
CANNON AIR FORCE BASE WATER SYSTEM,404.0,312.0,-1,2007
CANNON AIR FORCE BASE WATER SYSTEM,402.0,312.0,-1,2023
CANNON AIR FORCE BASE WATER SYSTEM,415.0,314.0,-1,2012
CANNON AIR FORCE BASE WATER SYSTEM,407.0,312.0,-1,2023
CANNON AIR FORCE BASE WATER SYSTEM,385.0,293.0,-1,2008
CANNON AIR FORCE BASE WATER SYSTEM,408.0,318.0,-1,2016
CASAS ADOBES MDWCA,310.0,60.0,-1,2021
SANTA FE TENNIS AND SWIM CLUB,250.0,120.0,-1,2004
CBG WATER COMPANY,750.0,358.0,-1,2019
CBG WATER COMPANY,754.0,368.0,-1,2007
UNIVERSITY ESTATES WATER SYSTEM (LCU),570.0,50.0,-1,2018
UNIVERSITY ESTATES WATER SYSTEM (LCU),590.0,34.0,-1,2014
SIVELLS BAPTIST CAMP,180.0,40.0,-1,2005
TIJERAS WATER COOPERATIVE,450.0,79.0,-1,2012
BARCELONA MOBILE HOME PARK,200.0,78.0,-1,2006
SUN VALLEY WATER AND SANITATION DISTRICT,480.0,230.0,-1,2012
SUN VALLEY WATER AND SANITATION DISTRICT,745.0,50.0,-1,2008
SUN VALLEY WATER AND SANITATION DISTRICT,356.0,230.0,-1,2009
SUN VALLEY WATER AND SANITATION DISTRICT,800.0,65.0,-1,2016
SAN YSIDRO WATER SUPPLY SYSTEM,45.0,4.0,-1,2017
CERRO REGIONAL MDWCA/SWA,140.0,70.0,-1,2004
TAOS MOTEL AND RV PARK,100.0,43.0,-1,2014
RANCHOS ELEMENTARY SCHOOL,157.0,45.0,-1,2021
LA PROMESA ELEMENTARY SCHOOL,240.0,30.0,-1,2021
PHILMONT SCOUT RANCH - RAYADO RIDGE OC,725.0,347.0,-1,2006
COLUMBINE CAMPGROUND USFS CARSON,82.0,74.0,-1,2006
LAKE SECTION WATER COMPANY,730.0,30.0,-1,2008
LAKE SECTION WATER COMPANY,685.0,339.0,-1,2009
LAKE SECTION WATER COMPANY,800.0,362.0,-1,2019
LAKE SECTION WATER COMPANY,710.0,348.0,-1,2012
LAS VEGAS (CITY OF),829.0,80.0,-1,2023
INDIAN HILLS WATER SYSTEM,325.0,130.0,-1,2014
GLORIETA CAMPS,934.0,265.0,-1,2007
GLORIETA CAMPS,800.0,189.0,-1,2016
AGUA NEGRA MDWCA,247.0,39.6,-1,2002
HIDDEN VALLEY RESORT ON ROUTE 66,230.0,136.0,-1,2012
HIDDEN VALLEY RESORT ON ROUTE 66,180.0,143.0,-1,2017
